Conference Name,Start Date,End Date,Month,Quarter,City,Country,Region,Type,Bitcoin-Only,Mining Focus,Website,Status,Notes / Key Details,Verified
Arkade Day 2027,October 21,October 21,October,Q4,Lugano,Switzerland,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Runs in the Plan B Forum week,Projected from bitcoinonly.events
Bitcoin for Financial Services Summit (BFFS) 2027,October 21,October 23,October,Q4,Denver (CO),USA,North America,Summit,Yes,No,https://bffs.media,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 21 to October 23. Bitcoin for financial services industry,Projected from the 2026 list
The Future of Capital Markets 2027,October 22,October 22,October,Q4,Lugano,Switzerland,Europe,Forum,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Runs in the Plan B Forum week,Projected from bitcoinonly.events
Lugano Plan B Forum 2027,October 23,October 24,October,Q4,Lugano,Switzerland,Europe,Forum,Yes,No,https://planb.lugano.ch/planb-forum/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October 23 to October 24. Annual Plan B Network flagship; Switzerland; Peer ticket 249 CHF,Projected from the 2026 list
Bitkiwi XVII Wellington 2027,October 24,October 24,October,Q4,Wellington,New Zealand,Oceania,Conference,Yes,No,https://kiwibitcoinguide.org/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from bitcoinonly.events
MITA TechTalks 2027,October 25,October 27,October,Q4,Punta Mita,Mexico,Latin America,Conference,No,No,https://2026.mitatechtalks.com/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
Custody & Treasury Summit 2027,October 28,October 29,October,Q4,Nashville (TN),USA,North America,Summit,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Custody and corporate treasury,Projected from bitcoinonly.events
BTC Balkans 2027,October 31,November 1,October,Q4,Sofia,Bulgaria,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from bitcoinonly.events
AIM Summit Dubai 2027,October,October,October,Q4,Dubai,UAE,Middle East,Summit,No,No,https://aimsummit.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October. Alternative investments + Bitcoin; Dubai GCC,Projected from the 2026 list
Mining Roundtable Dallas 2027,October,October,October,Q4,Dallas (TX),USA,North America,Roundtable,Yes,Yes,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: October. Private Bitcoin mining industry roundtable,Projected from the 2026 list
Bitcoin Amsterdam 2027,November 5,November 6,November,Q4,Amsterdam,Netherlands,Europe,Conference,Yes,No,https://amsterdam.b.tc,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 5 to November 6. BTC Inc flagship Europe event; confirmed Nov 5-6,Projected from the 2026 list
bitcoin++ Seoul 2027,November 5,November 6,November,Q4,Seoul,South Korea,Asia,Conference,Yes,No,https://btcplusplus.dev/conf/seoul,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 5 to November 6. Developer conference; privacy edition,Projected from the 2026 list
Golden Gate Bitcoin Conference 2027,November 6,November 7,November,Q4,Kentfield (CA),USA,North America,Conference,Yes,No,https://conf.bayareabitcoiners.com/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition. Bay Area Bitcoiners,Projected from proofofconference
SatsConf 2027,November 6,November 7,November,Q4,São Paulo,Brazil,Latin America,Conference,Yes,No,https://satsconf.com.br,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 6 to November 7. Brazil's premier Bitcoin-only conference; confirmed Nov 6 main event Nov 7 VIP dinner; Btrust-supported,Projected from the 2026 list
Bitcoin Korea Conference 2027,November 7,November 8,November,Q4,Seoul,South Korea,Asia,Conference,Yes,No,https://www.bitcoinkoreaconference.com/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 7 to November 8. COEX Convention Center; 2 days education + workshops + Lightning market; confirmed Nov 7-8,Projected from the 2026 list
Bitcoin Historico 2027,November 11,November 12,November,Q4,San Salvador,El Salvador,Latin America,Conference,Yes,No,https://bitcoinhistorico.com/,Projected,PROJECTED - 2027 dates not announced; carried from the 2026 edition.,Projected from proofofconference
Bitcoin For Corporations (BFC) - Bitcoin Amsterdam Symposium 2027,November 13,November 13,November,Q4,Amsterdam,Netherlands,Europe,Symposium,Yes,No,https://bitcoinforcorporations.com/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 13. Co-located with Bitcoin Amsterdam,Projected from the 2026 list
Bitcoin: A Competitive Advantage 2027,November 13,November 13,November,Q4,Derby,England,Europe,Conference,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 13. UK Bitcoin business conference,Projected from the 2026 list
NABS (North American Blockchain Summit) 2027,November 18,November 19,November,Q4,Arlington (TX),USA,North America,Summit,No,No,https://www.northamericanblockchainsummit.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 18 to November 19. Digital assets + Bitcoin; Texas,Projected from the 2026 list
Bitfest 2027,November 20,November 22,November,Q4,Manchester,England,Europe,Festival,Yes,No,,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 20 to November 22. UK Bitcoin festival; Manchester,Projected from the 2026 list
LABITCONF 2027,November 29,December 1,November,Q4,Buenos Aires,Argentina,Latin America,Conference,No,No,https://labitconf.com,Projected,PROJECTED - 2027 dates not announced. 2026 edition: November 29 to December 1. Latin America's largest Bitcoin conference; Buenos Aires edition; Nov 29-Dec 1,Projected from the 2026 list
Africa Bitcoin Conference 2027,December 2,December 5,December,Q4,Blantyre,Malawi,Africa,Conference,Yes,No,https://afrobitcoin.org,Projected,"PROJECTED - 2027 dates not announced. 2026 edition: December 2 to December 5. 5th edition; Blantyre MALAWI (confirmed); Btrust-supported; past speakers: Jack Dorsey, Jack Mallers",Projected from the 2026 list
Blockchain Life Dubai 2027,December 2,December 3,December,Q4,Dubai,UAE,Middle East,Conference,No,No,https://blockchain-life.com,Projected,"PROJECTED - 2027 dates not announced. 2026 edition: December 2 to December 3. Large crypto conference; Bitcoin track; Dubai; 10,000+ attendees",Projected from the 2026 list
Bitcoin For Corporations (BFC) - Bitcoin MENA Symposium 2027,December 8,December 8,December,Q4,Abu Dhabi,UAE,Middle East,Symposium,Yes,No,https://bitcoinforcorporations.com/,Projected,PROJECTED - 2027 dates not announced. 2026 edition: December 8. Co-located with Bitcoin MENA,Projected from the 2026 list
Adopting Bitcoin East Africa 2027,TBD,TBD,TBD,TBD,Nairobi,Kenya,Africa,Conference,Yes,No,https://ke26.adoptingbitcoin.org,TBD,"Recurs, but no month is published. East Africa Bitcoin adoption conference",Projected - no date published
Advancing Bitcoin 2027,TBD,TBD,TBD,TBD,London,UK,Europe,Conference,Yes,No,https://www.advancingbitcoin.com,TBD,"Recurs, but no month is published. Bitcoin developer conference; UK; watch for 2026 announcement",Projected - no date published
Africa Bitcoin Mining Summit (ABMS) 2027,TBD,TBD,TBD,TBD,TBD,Africa,Africa,Summit,Yes,Yes,,TBD,"Recurs, but no month is published. 4th edition; GAMA Alliance; renewable energy Bitcoin mining in Africa",Projected - no date published
Australian Crypto Convention 2027,TBD,TBD,TBD,TBD,Sydney,Australia,Oceania,Conference,No,No,https://www.grandstandevents.com.au/expos/australian-crypto-convention/,TBD,"Recurs, but no month is published. ICC Sydney; crypto + Bitcoin",Projected - no date published
Baltic Honeybadger 2027,TBD,TBD,TBD,TBD,Riga,Latvia,Europe,Conference,Yes,No,https://baltichoneybadger.com,TBD,"Recurs, but no month is published. 2025 edition was Aug 9-10; 2026 dates NOT yet announced; check baltichoneybadger.com",Projected - no date published
Bitcoin Alive 2027,TBD,TBD,TBD,TBD,Sydney,Australia,Oceania,Conference,Yes,No,https://bitcoinalive.io/,TBD,March in 2026; day not published,Projected from proofofconference
Bitcoin Indonesia Conference 2027,TBD,TBD,TBD,TBD,TBD,Indonesia,Asia,Conference,Yes,No,https://indonesiabitcoinconference.com/,TBD,September in 2026; day not published,Projected from proofofconference
Bitcoin MENA 2027,TBD,TBD,TBD,TBD,Abu Dhabi,UAE,Middle East,Conference,Yes,No,https://mena.b.tc,Confirmed,ADNEC Centre. b.tc says 'Late 2027'; month not fixed,Yes - b.tc + proofofconference
Bitplebs Summit 2027,TBD,TBD,TBD,TBD,Goa,India,Asia,Summit,Yes,No,,TBD,"Recurs, but no month is published. India Bitcoin dev + education; Bitshala + Plebs Stronger Together; Btrust-supported",Projected - no date published
Dakar Bitcoin Days 2027,TBD,TBD,TBD,TBD,Dakar,Senegal,Africa,Conference,Yes,No,,TBD,"Recurs, but no month is published. West Africa Bitcoin conference; Btrust-supported",Projected - no date published
Empower Summit 2027,TBD,TBD,TBD,TBD,Houston (TX),USA,North America,Summit,Yes,Yes,,TBD,"Recurs, but no month is published. Bitcoin energy + mining; Houston TX",Projected - no date published
NZCryptoCon 2027,TBD,TBD,TBD,TBD,Auckland,New Zealand,Oceania,Conference,No,No,https://nzcryptocon.com,TBD,"Recurs, but no month is published. New Zealand's first large-scale crypto event",Projected - no date published
Presidio Bitcoin 2027,TBD,TBD,TBD,TBD,San Francisco (CA),USA,North America,Conference,Yes,No,https://www.presidiobitcoin.com,TBD,"Recurs, but no month is published. San Francisco Bitcoin conference",Projected - no date published
WDMS GCC 2027,TBD,TBD,TBD,TBD,UAE/GCC,UAE,Middle East,Summit,Yes,Yes,,TBD,"Recurs, but no month is published. Mining summit; GCC region",Projected - no date published
WDMS USA 2027,TBD,TBD,TBD,TBD,USA,USA,North America,Summit,Yes,Yes,,TBD,"Recurs, but no month is published. Mining summit; dates TBD",Projected - no date published
